Repo Name,Default Branch Name,Is Archived,Is Private,Is Empty,Is Fork,Parent Repo Name,Merge Commit Allowed,Squash Merge Allowed,Rebase Merge Allowed,IsAdminEnforced,RequiresCommitSignatures,RestrictsPushes,RequiresApprovingReviews,RequiresStatusChecks,RequiresCodeOwnerReviews,DismissesStaleReviews,RequiresStrictStatusChecks,RequiredApprovingReviewCount,AllowsForcePushes,AllowsDeletions,Branch Protection Pattern
hmrc/2-way-messaging-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/2way-testbed-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/5mld-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/a-b-test,master,false,false,false,false,,false,true,true,false,true,true,true,true,true,true,true,1,false,false,master
hmrc/a11y-statement-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,false,master
hmrc/accessibility,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/accessibility-assessment,master,false,false,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/accessibility-assessment-fluentbit,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/accessibility-assessment-tests,master,false,true,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,true,master
hmrc/accessibility-audits,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/accessibility-audits-external,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/accessibility-audits-internal,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/accessibility-audits-live,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/accessibility-developer-tools,master,false,false,false,true,GoogleChrome/accessibility-developer-tools,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/accessibility-driver,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/accessibility-empathy-hub,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/accessibility-examples,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/accessibility-report,master,true,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/accessibility-statement-frontend,master,false,false,false,false,,true,true,true,false,true,false,true,true,true,true,false,1,false,false,master
hmrc/accessibility-statement-performance-tests,master,false,false,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,true,false,master
hmrc/accessibility-statement-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/accessibility-testing-library,master,false,false,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/accessibility-training-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,false,master
hmrc/account-contact-details-frontend-perf-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,false,master
hmrc/account-links-generator,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/acme-accounts,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/add-manage-BTA-services-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/add-taxes-acceptance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/add-taxes-frontend,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/address-lookup,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/address-lookup-acceptance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/address-lookup-admin-cli,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,false,master
